Vardas                   Pavarde                  ND1ND        2ND        3ND        4ND        5Egz.      
Vardas3093               Pavarde3093              8         8         8         10        2         3         
Vardas3094               Pavarde3094              2         2         10        5         3         8         
Vardas3095               Pavarde3095              1         9         6         5         5         2         
Vardas3096               Pavarde3096              4         1         3         1         2         6         
Vardas3097               Pavarde3097              10        1         3         8         6         10        
Vardas3098               Pavarde3098              9         4         4         3         3         10        
Vardas3099               Pavarde3099              4         3         10        1         2         7         
Vardas3100               Pavarde3100              3         2         1         8         8         3         
Vardas3101               Pavarde3101              2         10        8         5         6         3         
Vardas3102               Pavarde3102              9         4         6         10        6         1         
Vardas3103               Pavarde3103              10        3         10        7         3         5         
Vardas3104               Pavarde3104              2         7         9         10        8         9         
Vardas3105               Pavarde3105              5         8         6         1         2         6         
Vardas3106               Pavarde3106              2         8         10        2         5         6         
Vardas3107               Pavarde3107              8         1         4         3         1         9         
Vardas3108               Pavarde3108              6         3         1         10        6         10        
Vardas3109               Pavarde3109              6         9         10        4         4         9         
Vardas3110               Pavarde3110              4         5         10        6         7         2         
Vardas3111               Pavarde3111              3         7         9         3         5         6         
Vardas3112               Pavarde3112              7         8         6         1         3         4         
Vardas3113               Pavarde3113              5         2         6         5         5         5         
Vardas3114               Pavarde3114              3         3         4         2         3         4         
Vardas3115               Pavarde3115              5         8         1         2         9         2         
Vardas3116               Pavarde3116              8         6         9         9         7         8         
Vardas3117               Pavarde3117              10        4         3         8         4         3         
Vardas3118               Pavarde3118              2         6         7         2         4         8         
Vardas3119               Pavarde3119              6         9         8         8         2         2         
Vardas3120               Pavarde3120              7         6         4         4         3         3         
Vardas3121               Pavarde3121              8         4         1         2         10        10        
Vardas3122               Pavarde3122              8         8         6         7         7         10        
Vardas3123               Pavarde3123              5         4         3         4         4         1         
Vardas3124               Pavarde3124              10        6         6         5         10        6         
Vardas3125               Pavarde3125              7         6         4         1         6         1         
Vardas3126               Pavarde3126              9         6         5         6         3         3         
Vardas3127               Pavarde3127              4         1         10        2         4         7         
Vardas3128               Pavarde3128              7         8         4         6         2         7         
Vardas3129               Pavarde3129              3         8         7         6         4         3         
Vardas3130               Pavarde3130              5         3         1         8         8         5         
Vardas3131               Pavarde3131              6         10        7         8         3         2         
Vardas3132               Pavarde3132              6         10        9         2         4         5         
Vardas3133               Pavarde3133              8         7         7         7         5         4         
Vardas3134               Pavarde3134              4         8         5         5         6         9         
Vardas3135               Pavarde3135              9         8         3         10        4         1         
Vardas3136               Pavarde3136              8         9         4         5         5         10        
Vardas3137               Pavarde3137              3         8         4         8         7         4         
Vardas3138               Pavarde3138              1         2         6         5         6         6         
Vardas3139               Pavarde3139              7         10        6         8         8         9         
Vardas3140               Pavarde3140              5         4         8         6         10        3         
Vardas3141               Pavarde3141              7         7         7         7         3         1         
Vardas3142               Pavarde3142              2         5         3         10        6         9         
Vardas3143               Pavarde3143              2         8         3         8         8         10        
Vardas3144               Pavarde3144              7         9         4         5         4         4         
Vardas3145               Pavarde3145              4         4         2         6         9         1         
Vardas3146               Pavarde3146              7         9         3         5         8         7         
Vardas3147               Pavarde3147              6         7         6         4         1         10        
Vardas3148               Pavarde3148              2         6         2         5         10        6         
Vardas3149               Pavarde3149              3         10        2         6         3         1         
Vardas3150               Pavarde3150              6         4         6         3         5         10        
Vardas3151               Pavarde3151              8         5         1         1         10        10        
Vardas3152               Pavarde3152              1         2         3         8         5         6         
Vardas3153               Pavarde3153              3         5         1         5         3         2         
Vardas3154               Pavarde3154              4         7         2         3         9         6         
Vardas3155               Pavarde3155              5         3         5         7         1         2         
Vardas3156               Pavarde3156              2         7         10        10        4         6         
Vardas3157               Pavarde3157              7         3         2         7         5         7         
Vardas3158               Pavarde3158              10        2         2         7         1         6         
Vardas3159               Pavarde3159              3         1         8         7         10        6         
Vardas3160               Pavarde3160              2         7         8         9         1         6         
Vardas3161               Pavarde3161              7         6         6         6         4         3         
Vardas3162               Pavarde3162              4         5         5         3         10        5         
Vardas3163               Pavarde3163              5         6         1         10        6         1         
Vardas3164               Pavarde3164              10        6         2         5         4         9         
Vardas3165               Pavarde3165              8         8         10        6         1         10        
Vardas3166               Pavarde3166              2         10        5         9         2         2         
Vardas3167               Pavarde3167              5         6         3         3         2         2         
Vardas3168               Pavarde3168              5         7         9         6         10        5         
Vardas3169               Pavarde3169              3         4         1         2         4         9         
Vardas3170               Pavarde3170              4         9         2         1         4         10        
Vardas3171               Pavarde3171              8         2         3         10        2         3         
Vardas3172               Pavarde3172              4         1         3         2         6         9         
Vardas3173               Pavarde3173              1         7         3         5         8         5         
Vardas3174               Pavarde3174              2         5         4         8         2         6         
Vardas3175               Pavarde3175              7         5         1         3         10        6         
Vardas3176               Pavarde3176              3         6         4         2         4         1         
Vardas3177               Pavarde3177              4         4         10        10        8         10        
Vardas3178               Pavarde3178              1         7         8         7         5         7         
Vardas3179               Pavarde3179              10        4         3         3         8         5         
Vardas3180               Pavarde3180              5         8         6         4         8         6         
Vardas3181               Pavarde3181              6         3         4         7         6         4         
Vardas3182               Pavarde3182              3         4         4         6         1         2         
Vardas3183               Pavarde3183              2         10        4         2         4         6         
Vardas3184               Pavarde3184              1         6         4         9         8         9         
Vardas3185               Pavarde3185              9         2         9         9         6         6         
Vardas3186               Pavarde3186              1         1         10        4         8         6         
Vardas3187               Pavarde3187              10        10        9         3         1         2         
Vardas3188               Pavarde3188              9         6         7         6         8         8         
Vardas3189               Pavarde3189              6         9         6         8         5         3         
Vardas3190               Pavarde3190              7         10        5         10        7         9         
Vardas3191               Pavarde3191              10        7         10        8         9         9         
Vardas3192               Pavarde3192              6         10        5         6         10        7         
Vardas3193               Pavarde3193              3         7         2         3         7         2         
Vardas3194               Pavarde3194              3         7         2         4         8         2         
Vardas3195               Pavarde3195              5         9         4         3         5         5         
Vardas3196               Pavarde3196              10        5         6         7         2         6         
Vardas3197               Pavarde3197              10        10        5         6         10        10        
Vardas3198               Pavarde3198              5         5         9         5         7         6         
Vardas3199               Pavarde3199              4         4         2         2         7         5         
Vardas3200               Pavarde3200              1         1         7         1         4         8         
Vardas3201               Pavarde3201              5         2         7         3         4         10        
Vardas3202               Pavarde3202              3         3         5         7         8         8         
Vardas3203               Pavarde3203              5         10        6         4         2         5         
Vardas3204               Pavarde3204              2         8         6         8         9         4         
Vardas3205               Pavarde3205              2         7         10        5         7         2         
Vardas3206               Pavarde3206              9         6         5         1         3         5         
Vardas3207               Pavarde3207              7         1         3         8         6         10        
Vardas3208               Pavarde3208              5         3         1         4         1         7         
Vardas3209               Pavarde3209              2         7         9         1         1         6         
Vardas3210               Pavarde3210              4         9         7         10        1         4         
Vardas3211               Pavarde3211              4         8         4         5         7         6         
Vardas3212               Pavarde3212              9         10        2         10        4         1         
Vardas3213               Pavarde3213              3         1         8         5         5         9         
Vardas3214               Pavarde3214              1         5         1         1         1         10        
Vardas3215               Pavarde3215              4         9         8         3         10        5         
Vardas3216               Pavarde3216              9         5         9         6         7         8         
Vardas3217               Pavarde3217              10        3         8         7         5         6         
Vardas3218               Pavarde3218              3         3         9         9         6         8         
Vardas3219               Pavarde3219              5         1         6         9         6         9         
Vardas3220               Pavarde3220              1         2         6         7         1         7         
Vardas3221               Pavarde3221              7         4         4         10        7         6         
Vardas3222               Pavarde3222              6         7         3         4         3         8         
Vardas3223               Pavarde3223              1         8         3         3         4         4         
Vardas3224               Pavarde3224              5         9         9         10        8         10        
Vardas3225               Pavarde3225              10        7         3         8         10        4         
Vardas3226               Pavarde3226              8         5         2         2         10        8         
Vardas3227               Pavarde3227              6         7         10        5         6         7         
Vardas3228               Pavarde3228              8         5         1         4         6         3         
Vardas3229               Pavarde3229              4         9         3         7         6         8         
Vardas3230               Pavarde3230              6         3         2         7         1         9         
Vardas3231               Pavarde3231              10        6         1         6         7         7         
Vardas3232               Pavarde3232              6         4         4         2         7         3         
Vardas3233               Pavarde3233              1         3         5         1         3         6         
Vardas3234               Pavarde3234              10        6         6         9         5         8         
Vardas3235               Pavarde3235              7         7         4         2         6         10        
Vardas3236               Pavarde3236              7         10        6         9         6         1         
Vardas3237               Pavarde3237              10        3         8         4         7         4         
Vardas3238               Pavarde3238              7         9         2         2         8         8         
Vardas3239               Pavarde3239              10        6         1         4         3         8         
Vardas3240               Pavarde3240              3         1         7         3         2         8         
Vardas3241               Pavarde3241              7         2         5         8         1         5         
Vardas3242               Pavarde3242              4         1         9         2         6         10        
Vardas3243               Pavarde3243              9         10        9         3         6         3         
Vardas3244               Pavarde3244              4         3         1         10        8         2         
Vardas3245               Pavarde3245              7         6         10        4         3         2         
Vardas3246               Pavarde3246              3         2         6         4         10        6         
Vardas3247               Pavarde3247              6         10        5         3         6         2         
Vardas3248               Pavarde3248              7         8         8         4         5         6         
Vardas3249               Pavarde3249              3         5         2         9         2         1         
Vardas3250               Pavarde3250              5         6         3         10        8         9         
Vardas3251               Pavarde3251              3         8         8         5         1         7         
Vardas3252               Pavarde3252              5         9         10        9         9         4         
Vardas3253               Pavarde3253              9         10        9         6         7         7         
Vardas3254               Pavarde3254              1         2         3         6         3         9         
Vardas3255               Pavarde3255              2         1         4         9         10        1         
Vardas3256               Pavarde3256              3         5         3         6         3         6         
Vardas3257               Pavarde3257              3         7         8         5         1         2         
Vardas3258               Pavarde3258              5         3         2         2         10        9         
Vardas3259               Pavarde3259              9         7         10        8         3         8         
Vardas3260               Pavarde3260              8         4         2         3         8         8         
Vardas3261               Pavarde3261              2         9         6         6         6         2         
Vardas3262               Pavarde3262              6         4         4         6         1         3         
Vardas3263               Pavarde3263              3         4         4         2         7         9         
Vardas3264               Pavarde3264              3         3         1         6         1         1         
Vardas3265               Pavarde3265              4         7         4         7         8         3         
Vardas3266               Pavarde3266              10        10        1         1         5         10        
Vardas3267               Pavarde3267              3         10        6         4         8         1         
Vardas3268               Pavarde3268              3         8         2         6         9         8         
Vardas3269               Pavarde3269              9         7         2         3         5         7         
Vardas3270               Pavarde3270              10        4         10        3         8         7         
Vardas3271               Pavarde3271              2         2         4         2         8         1         
Vardas3272               Pavarde3272              2         5         10        2         3         6         
Vardas3273               Pavarde3273              4         1         8         3         4         10        
Vardas3274               Pavarde3274              8         5         5         3         10        1         
Vardas3275               Pavarde3275              9         5         1         10        9         9         
Vardas3276               Pavarde3276              3         6         9         10        4         1         
Vardas3277               Pavarde3277              8         5         10        2         10        6         
Vardas3278               Pavarde3278              3         1         4         6         2         3         
Vardas3279               Pavarde3279              3         10        7         3         2         7         
Vardas3280               Pavarde3280              9         1         4         5         2         2         
Vardas3281               Pavarde3281              2         4         6         9         8         8         
Vardas3282               Pavarde3282              5         8         2         9         1         3         
Vardas3283               Pavarde3283              10        6         8         7         8         5         
Vardas3284               Pavarde3284              2         1         9         5         2         7         
Vardas3285               Pavarde3285              10        3         5         10        5         6         
Vardas3286               Pavarde3286              1         1         9         6         7         5         
Vardas3287               Pavarde3287              6         8         9         3         7         9         
Vardas3288               Pavarde3288              3         7         8         2         5         8         
Vardas3289               Pavarde3289              8         2         4         10        2         6         
Vardas3290               Pavarde3290              1         6         9         2         1         5         
Vardas3291               Pavarde3291              3         6         1         8         8         10        
Vardas3292               Pavarde3292              10        9         9         9         4         3         
Vardas3293               Pavarde3293              7         9         7         10        1         5         
Vardas3294               Pavarde3294              7         5         9         1         8         10        
Vardas3295               Pavarde3295              8         1         1         2         2         10        
Vardas3296               Pavarde3296              7         10        2         5         5         5         
Vardas3297               Pavarde3297              5         2         10        10        2         3         
Vardas3298               Pavarde3298              2         5         2         10        5         3         
Vardas3299               Pavarde3299              7         7         1         1         8         10        
Vardas3300               Pavarde3300              9         8         4         3         2         1         
Vardas3301               Pavarde3301              4         10        5         7         3         10        
Vardas3302               Pavarde3302              7         9         3         6         1         7         
Vardas3303               Pavarde3303              4         3         2         6         7         8         
Vardas3304               Pavarde3304              8         1         1         7         10        6         
Vardas3305               Pavarde3305              4         3         4         9         1         10        
Vardas3306               Pavarde3306              10        4         3         4         6         1         
Vardas3307               Pavarde3307              9         9         9         6         4         6         
Vardas3308               Pavarde3308              7         1         3         7         7         1         
Vardas3309               Pavarde3309              7         6         10        7         10        3         
Vardas3310               Pavarde3310              5         8         1         2         3         6         
Vardas3311               Pavarde3311              8         10        1         7         10        9         
Vardas3312               Pavarde3312              3         2         6         2         6         6         
Vardas3313               Pavarde3313              9         9         5         8         8         3         
Vardas3314               Pavarde3314              4         1         6         7         7         10        
Vardas3315               Pavarde3315              10        2         7         10        3         3         
Vardas3316               Pavarde3316              4         10        7         5         10        5         
Vardas3317               Pavarde3317              2         7         9         3         7         1         
Vardas3318               Pavarde3318              8         2         1         5         7         5         
Vardas3319               Pavarde3319              3         5         8         3         3         3         
Vardas3320               Pavarde3320              8         2         4         10        3         6         
Vardas3321               Pavarde3321              9         4         5         6         10        5         
Vardas3322               Pavarde3322              1         5         9         10        3         1         
Vardas3323               Pavarde3323              2         2         3         3         9         5         
Vardas3324               Pavarde3324              10        6         1         5         10        9         
Vardas3325               Pavarde3325              7         4         3         2         9         8         
Vardas3326               Pavarde3326              2         7         2         4         6         9         
Vardas3327               Pavarde3327              4         6         6         10        6         10        
Vardas3328               Pavarde3328              2         7         1         7         4         1         
Vardas3329               Pavarde3329              3         9         2         1         8         7         
Vardas3330               Pavarde3330              3         8         2         2         5         8         
Vardas3331               Pavarde3331              7         4         2         6         4         1         
Vardas3332               Pavarde3332              6         2         8         10        2         5         
Vardas3333               Pavarde3333              4         7         5         6         9         4         
Vardas3334               Pavarde3334              6         6         6         2         5         9         
Vardas3335               Pavarde3335              1         5         6         2         5         1         
Vardas3336               Pavarde3336              6         7         10        3         5         10        
Vardas3337               Pavarde3337              4         1         4         2         5         7         
Vardas3338               Pavarde3338              2         1         7         4         9         9         
Vardas3339               Pavarde3339              10        4         6         5         3         8         
Vardas3340               Pavarde3340              8         5         7         2         6         1         
Vardas3341               Pavarde3341              3         8         4         9         4         9         
Vardas3342               Pavarde3342              6         2         9         10        10        1         
Vardas3343               Pavarde3343              7         4         6         9         2         2         
Vardas3344               Pavarde3344              7         9         4         3         6         8         
Vardas3345               Pavarde3345              1         5         1         10        4         10        
Vardas3346               Pavarde3346              1         2         8         7         6         5         
Vardas3347               Pavarde3347              10        9         7         5         5         2         
Vardas3348               Pavarde3348              6         6         5         9         2         3         
Vardas3349               Pavarde3349              4         1         3         6         5         5         
Vardas3350               Pavarde3350              2         4         5         1         4         9         
Vardas3351               Pavarde3351              1         5         9         4         8         10        
Vardas3352               Pavarde3352              4         2         10        5         10        4         
Vardas3353               Pavarde3353              5         7         9         4         6         6         
Vardas3354               Pavarde3354              3         10        3         2         9         7         
Vardas3355               Pavarde3355              4         10        4         4         9         4         
Vardas3356               Pavarde3356              8         6         3         7         1         5         
Vardas3357               Pavarde3357              6         2         6         3         2         1         
Vardas3358               Pavarde3358              2         9         6         5         5         2         
Vardas3359               Pavarde3359              4         7         1         9         5         1         
Vardas3360               Pavarde3360              5         1         2         6         2         5         
Vardas3361               Pavarde3361              7         7         2         5         9         10        
Vardas3362               Pavarde3362              2         5         5         9         3         1         
Vardas3363               Pavarde3363              1         5         3         9         2         5         
Vardas3364               Pavarde3364              2         7         7         6         6         7         
Vardas3365               Pavarde3365              1         8         10        7         10        5         
Vardas3366               Pavarde3366              10        6         1         2         3         6         
Vardas3367               Pavarde3367              1         6         5         5         8         5         
Vardas3368               Pavarde3368              4         10        6         1         10        4         
Vardas3369               Pavarde3369              4         1         1         8         4         7         
Vardas3370               Pavarde3370              1         3         4         5         3         10        
Vardas3371               Pavarde3371              6         1         8         2         4         4         
Vardas3372               Pavarde3372              8         10        5         9         6         7         
Vardas3373               Pavarde3373              2         2         10        7         5         8         
Vardas3374               Pavarde3374              7         6         1         2         6         6         
Vardas3375               Pavarde3375              2         2         6         8         5         6         
Vardas3376               Pavarde3376              8         5         2         4         8         10        
Vardas3377               Pavarde3377              1         9         10        8         8         9         
Vardas3378               Pavarde3378              7         4         1         7         3         7         
Vardas3379               Pavarde3379              10        5         10        8         1         4         
Vardas3380               Pavarde3380              7         1         1         8         7         5         
Vardas3381               Pavarde3381              7         4         5         7         3         6         
Vardas3382               Pavarde3382              6         4         9         6         10        3         
Vardas3383               Pavarde3383              3         5         8         4         1         8         
Vardas3384               Pavarde3384              1         3         8         8         2         9         
Vardas3385               Pavarde3385              6         2         9         2         7         7         
Vardas3386               Pavarde3386              3         9         4         7         4         9         
Vardas3387               Pavarde3387              4         10        1         9         10        9         
Vardas3388               Pavarde3388              5         4         2         9         1         7         
Vardas3389               Pavarde3389              3         5         8         8         6         6         
Vardas3390               Pavarde3390              9         7         3         4         1         10        
Vardas3391               Pavarde3391              8         7         10        1         4         10        
Vardas3392               Pavarde3392              6         6         7         6         8         6         
Vardas3393               Pavarde3393              10        5         2         1         2         2         
Vardas3394               Pavarde3394              4         2         10        1         6         7         
Vardas3395               Pavarde3395              5         5         8         2         5         1         
Vardas3396               Pavarde3396              1         2         8         5         10        9         
Vardas3397               Pavarde3397              10        8         7         8         9         4         
Vardas3398               Pavarde3398              8         8         4         2         9         6         
Vardas3399               Pavarde3399              2         5         9         8         4         4         
Vardas3400               Pavarde3400              7         7         10        9         5         3         
Vardas3401               Pavarde3401              1         9         9         7         2         9         
Vardas3402               Pavarde3402              8         6         5         5         5         6         
Vardas3403               Pavarde3403              3         6         1         6         1         5         
Vardas3404               Pavarde3404              8         4         6         4         8         7         
Vardas3405               Pavarde3405              4         4         1         1         5         10        
Vardas3406               Pavarde3406              6         8         5         3         9         8         
Vardas3407               Pavarde3407              9         3         7         9         5         7         
Vardas3408               Pavarde3408              5         1         9         8         4         9         
Vardas3409               Pavarde3409              4         10        3         3         5         7         
Vardas3410               Pavarde3410              3         1         1         1         4         8         
Vardas3411               Pavarde3411              10        4         8         4         1         7         
Vardas3412               Pavarde3412              7         6         1         3         3         3         
Vardas3413               Pavarde3413              9         8         6         8         4         2         
Vardas3414               Pavarde3414              7         10        7         6         7         4         
Vardas3415               Pavarde3415              10        5         3         1         9         5         
Vardas3416               Pavarde3416              6         8         10        5         9         7         
Vardas3417               Pavarde3417              3         6         4         8         2         4         
Vardas3418               Pavarde3418              6         9         2         4         8         10        
Vardas3419               Pavarde3419              7         6         10        1         10        5         
Vardas3420               Pavarde3420              7         8         9         3         5         7         
Vardas3421               Pavarde3421              3         5         3         4         6         4         
Vardas3422               Pavarde3422              5         3         5         4         7         5         
Vardas3423               Pavarde3423              8         4         8         2         8         10        
Vardas3424               Pavarde3424              7         1         10        9         2         5         
Vardas3425               Pavarde3425              3         2         6         10        9         3         
Vardas3426               Pavarde3426              8         10        2         2         7         9         
Vardas3427               Pavarde3427              9         3         4         8         1         3         
Vardas3428               Pavarde3428              10        3         10        10        8         3         
Vardas3429               Pavarde3429              4         7         3         7         6         1         
Vardas3430               Pavarde3430              7         2         8         10        7         7         
Vardas3431               Pavarde3431              3         2         8         9         10        6         
Vardas3432               Pavarde3432              2         10        7         9         5         8         
Vardas3433               Pavarde3433              1         3         1         1         8         4         
Vardas3434               Pavarde3434              8         10        8         5         6         7         
Vardas3435               Pavarde3435              9         2         1         3         5         8         
Vardas3436               Pavarde3436              1         8         1         10        7         9         
Vardas3437               Pavarde3437              8         4         3         2         6         3         
Vardas3438               Pavarde3438              5         4         1         2         1         2         
Vardas3439               Pavarde3439              2         1         8         8         1         5         
Vardas3440               Pavarde3440              2         9         6         6         10        10        
Vardas3441               Pavarde3441              2         3         9         6         3         7         
Vardas3442               Pavarde3442              8         7         5         8         3         10        
Vardas3443               Pavarde3443              2         7         4         3         9         5         
Vardas3444               Pavarde3444              10        9         5         2         7         10        
Vardas3445               Pavarde3445              2         9         5         10        4         7         
Vardas3446               Pavarde3446              9         9         9         1         8         7         
Vardas3447               Pavarde3447              8         1         3         3         3         6         
Vardas3448               Pavarde3448              10        3         1         9         10        9         
Vardas3449               Pavarde3449              7         7         2         1         2         5         
Vardas3450               Pavarde3450              1         7         5         7         3         3         
Vardas3451               Pavarde3451              1         1         5         8         2         9         
Vardas3452               Pavarde3452              7         4         9         4         2         6         
Vardas3453               Pavarde3453              2         4         6         7         7         1         
Vardas3454               Pavarde3454              5         5         7         4         4         9         
Vardas3455               Pavarde3455              5         4         7         4         9         9         
Vardas3456               Pavarde3456              8         9         2         6         8         2         
Vardas3457               Pavarde3457              10        9         10        8         1         4         
Vardas3458               Pavarde3458              2         2         1         6         8         9         
Vardas3459               Pavarde3459              6         7         4         5         7         3         
Vardas3460               Pavarde3460              4         4         10        6         2         10        
Vardas3461               Pavarde3461              1         9         6         5         3         2         
Vardas3462               Pavarde3462              10        1         10        9         3         10        
Vardas3463               Pavarde3463              1         10        4         6         7         10        
Vardas3464               Pavarde3464              2         3         4         6         10        5         
Vardas3465               Pavarde3465              4         4         8         6         8         9         
Vardas3466               Pavarde3466              5         6         5         4         3         4         
Vardas3467               Pavarde3467              5         7         5         3         1         5         
Vardas3468               Pavarde3468              7         3         9         2         2         10        
Vardas3469               Pavarde3469              2         10        4         5         1         6         
Vardas3470               Pavarde3470              1         4         5         7         3         8         
Vardas3471               Pavarde3471              1         8         2         9         7         4         
Vardas3472               Pavarde3472              9         6         5         8         4         9         
Vardas3473               Pavarde3473              3         5         8         4         1         9         
Vardas3474               Pavarde3474              1         9         1         1         2         6         
Vardas3475               Pavarde3475              10        3         1         3         8         6         
Vardas3476               Pavarde3476              6         7         3         9         2         10        
Vardas3477               Pavarde3477              7         2         5         6         2         5         
Vardas3478               Pavarde3478              1         7         8         3         2         4         
Vardas3479               Pavarde3479              4         6         4         2         7         9         
Vardas3480               Pavarde3480              9         9         8         2         8         2         
Vardas3481               Pavarde3481              8         3         9         2         4         3         
Vardas3482               Pavarde3482              2         3         10        7         2         8         
Vardas3483               Pavarde3483              8         6         10        2         9         7         
Vardas3484               Pavarde3484              10        1         3         9         10        2         
Vardas3485               Pavarde3485              7         2         4         6         4         7         
Vardas3486               Pavarde3486              5         2         2         6         6         2         
Vardas3487               Pavarde3487              1         10        4         9         6         9         
Vardas3488               Pavarde3488              3         5         1         5         4         1         
Vardas3489               Pavarde3489              9         5         10        10        4         2         
Vardas3490               Pavarde3490              5         10        7         8         5         5         
Vardas3491               Pavarde3491              8         10        2         7         4         10        
Vardas3492               Pavarde3492              9         8         3         10        4         7         
Vardas3493               Pavarde3493              9         8         2         5         7         6         
Vardas3494               Pavarde3494              8         10        3         1         9         7         
Vardas3495               Pavarde3495              2         3         6         10        7         7         
Vardas3496               Pavarde3496              8         7         4         5         3         9         
Vardas3497               Pavarde3497              9         3         6         1         10        7         
Vardas3498               Pavarde3498              3         8         8         2         1         7         
