Vardas                   Pavarde                  ND 1      ND 2      ND 3      ND 4      ND 5      ND 6      ND 7      ND 8      ND 9      ND 10     Egz.      
Vardas383                Pavarde383               1         6         5         4         8         4         9         1         6         7         9         
Vardas384                Pavarde384               3         7         9         2         3         7         7         3         5         4         1         
Vardas385                Pavarde385               3         1         6         2         1         6         9         1         2         4         9         
Vardas386                Pavarde386               3         9         5         6         8         3         4         9         10        2         7         
Vardas387                Pavarde387               3         3         2         4         9         6         7         7         9         10        4         
Vardas388                Pavarde388               6         8         7         10        6         8         8         1         1         3         6         
Vardas389                Pavarde389               10        4         1         4         8         7         2         6         3         6         10        
Vardas390                Pavarde390               6         4         6         6         4         7         7         9         6         3         2         
Vardas391                Pavarde391               1         3         7         9         10        7         3         6         9         9         7         
Vardas392                Pavarde392               7         2         7         8         2         3         6         3         5         10        3         
Vardas393                Pavarde393               8         1         1         5         10        1         9         2         1         1         2         
Vardas394                Pavarde394               8         4         6         7         10        6         1         7         7         3         4         
Vardas395                Pavarde395               7         8         6         3         6         7         7         7         8         9         7         
Vardas396                Pavarde396               5         6         6         9         1         1         5         5         3         3         9         
Vardas397                Pavarde397               7         6         1         10        10        10        4         9         8         2         6         
Vardas398                Pavarde398               2         10        10        9         6         3         4         2         1         8         4         
Vardas399                Pavarde399               9         9         6         10        7         10        4         2         2         10        2         
Vardas400                Pavarde400               3         5         7         9         1         9         10        6         1         5         7         
Vardas401                Pavarde401               9         7         8         4         4         2         8         4         2         4         5         
Vardas402                Pavarde402               3         8         8         4         4         7         6         6         4         7         1         
Vardas403                Pavarde403               10        6         7         4         4         3         10        10        7         4         6         
Vardas404                Pavarde404               6         2         5         8         2         8         10        10        7         6         3         
Vardas405                Pavarde405               3         4         8         1         10        8         7         10        6         7         10        
Vardas406                Pavarde406               10        4         6         9         2         9         10        7         2         9         5         
Vardas407                Pavarde407               6         4         5         7         5         2         6         3         2         8         6         
Vardas408                Pavarde408               5         9         4         9         6         3         4         2         4         3         1         
Vardas409                Pavarde409               1         1         9         6         3         9         9         8         2         1         9         
Vardas410                Pavarde410               7         4         3         3         3         8         1         9         5         8         5         
Vardas411                Pavarde411               4         5         5         5         7         1         6         6         4         8         3         
Vardas412                Pavarde412               2         10        1         9         9         9         1         10        2         7         8         
Vardas413                Pavarde413               9         7         6         10        9         1         6         5         7         8         7         
Vardas414                Pavarde414               5         1         2         9         9         5         10        5         7         5         1         
Vardas415                Pavarde415               10        3         10        2         3         5         4         10        10        8         8         
Vardas416                Pavarde416               7         7         8         10        4         10        5         6         5         7         10        
Vardas417                Pavarde417               9         7         9         3         7         8         6         9         7         9         3         
Vardas418                Pavarde418               5         4         6         7         7         3         7         5         10        3         5         
Vardas419                Pavarde419               3         10        7         7         3         3         6         7         6         3         10        
Vardas420                Pavarde420               6         8         5         5         4         5         10        3         2         4         4         
Vardas421                Pavarde421               8         4         4         1         6         5         6         2         3         9         6         
Vardas422                Pavarde422               7         1         2         9         10        3         8         4         9         5         3         
Vardas423                Pavarde423               7         8         7         4         1         3         10        4         10        10        3         
Vardas424                Pavarde424               3         3         10        5         10        5         9         5         7         4         5         
Vardas425                Pavarde425               3         9         4         4         8         9         4         8         6         10        2         
Vardas426                Pavarde426               5         10        2         8         7         3         6         3         3         9         7         
Vardas427                Pavarde427               2         6         6         10        7         3         7         9         10        1         7         
Vardas428                Pavarde428               5         1         7         7         4         6         5         2         9         9         5         
Vardas429                Pavarde429               5         8         4         3         5         4         3         6         2         3         5         
Vardas430                Pavarde430               10        6         1         7         9         6         5         2         10        2         10        
Vardas431                Pavarde431               3         4         3         3         3         10        2         8         6         1         10        
Vardas432                Pavarde432               10        9         10        9         1         2         9         1         7         9         5         
Vardas433                Pavarde433               6         6         1         9         7         1         6         5         7         3         10        
Vardas434                Pavarde434               4         3         6         7         4         6         8         3         9         6         5         
Vardas435                Pavarde435               9         10        3         9         7         9         9         9         6         10        10        
Vardas436                Pavarde436               5         3         10        10        9         8         9         4         2         4         1         
Vardas437                Pavarde437               7         7         4         5         1         9         4         8         7         7         1         
Vardas438                Pavarde438               6         3         1         8         4         7         9         8         10        5         9         
Vardas439                Pavarde439               1         9         6         8         3         5         3         10        3         1         2         
Vardas440                Pavarde440               6         1         2         5         1         1         6         8         5         8         8         
Vardas441                Pavarde441               6         3         9         4         6         10        8         9         10        7         1         
Vardas442                Pavarde442               10        1         2         10        2         7         1         2         5         4         5         
Vardas443                Pavarde443               8         10        7         10        1         8         6         6         5         10        5         
Vardas444                Pavarde444               3         1         10        8         4         4         8         8         1         6         4         
Vardas445                Pavarde445               2         3         7         5         3         5         7         1         4         6         3         
Vardas446                Pavarde446               8         2         2         5         10        7         6         10        9         8         9         
Vardas447                Pavarde447               5         1         3         10        1         6         9         3         7         3         10        
Vardas448                Pavarde448               7         10        9         4         10        6         8         1         2         3         1         
Vardas449                Pavarde449               8         7         6         7         4         3         9         6         6         9         9         
Vardas450                Pavarde450               1         2         10        5         6         7         8         8         2         9         4         
Vardas451                Pavarde451               7         4         4         9         4         6         10        7         2         2         10        
Vardas452                Pavarde452               5         4         10        2         10        3         7         1         8         1         10        
Vardas453                Pavarde453               4         9         8         4         1         9         7         9         4         1         7         
Vardas454                Pavarde454               9         6         4         10        9         7         1         6         7         4         9         
Vardas455                Pavarde455               10        7         1         6         10        10        2         8         6         5         9         
Vardas456                Pavarde456               9         5         2         2         8         1         3         6         7         9         9         
Vardas457                Pavarde457               1         6         4         5         4         8         6         7         1         7         2         
Vardas458                Pavarde458               1         10        9         8         10        6         4         8         2         2         8         
Vardas459                Pavarde459               4         2         7         10        2         5         3         8         1         9         7         
Vardas460                Pavarde460               5         10        8         1         2         4         2         2         10        10        10        
Vardas461                Pavarde461               6         10        4         6         7         2         5         4         10        6         5         
Vardas462                Pavarde462               6         6         1         4         8         3         3         5         4         1         6         
Vardas463                Pavarde463               9         1         4         1         7         6         5         1         9         9         5         
Vardas464                Pavarde464               9         2         8         8         9         1         10        1         1         1         3         
Vardas465                Pavarde465               1         5         6         5         3         2         7         9         5         7         7         
Vardas466                Pavarde466               7         3         9         9         6         3         8         7         10        3         2         
Vardas467                Pavarde467               7         1         8         7         1         1         6         6         9         5         5         
Vardas468                Pavarde468               4         10        7         4         7         9         5         2         2         6         6         
Vardas469                Pavarde469               5         3         10        3         5         1         6         8         7         1         5         
Vardas470                Pavarde470               5         8         6         6         10        2         9         5         5         7         6         
Vardas471                Pavarde471               2         1         5         10        10        6         9         8         6         5         9         
Vardas472                Pavarde472               7         1         3         7         3         8         4         2         6         10        6         
Vardas473                Pavarde473               10        9         10        8         5         1         9         5         8         3         1         
Vardas474                Pavarde474               9         9         7         1         3         4         10        2         4         8         10        
Vardas475                Pavarde475               4         4         2         3         6         7         3         1         7         2         8         
Vardas476                Pavarde476               8         1         6         7         2         3         3         7         2         1         6         
Vardas477                Pavarde477               6         4         4         2         3         6         8         3         2         8         2         
Vardas478                Pavarde478               3         3         9         1         10        5         10        4         2         5         2         
Vardas479                Pavarde479               5         4         1         5         9         8         4         3         9         3         4         
Vardas480                Pavarde480               10        9         6         1         9         4         6         2         6         9         4         
Vardas481                Pavarde481               8         2         7         1         10        1         6         4         2         5         3         
Vardas482                Pavarde482               1         2         6         10        1         5         3         7         1         6         3         
Vardas483                Pavarde483               5         3         4         9         6         1         6         4         3         10        8         
Vardas484                Pavarde484               4         8         5         10        9         9         9         1         10        8         4         
Vardas485                Pavarde485               1         8         7         2         3         5         3         9         7         4         10        
Vardas486                Pavarde486               9         4         6         2         1         10        7         3         6         5         9         
Vardas487                Pavarde487               6         4         2         8         1         9         1         5         7         10        7         
Vardas488                Pavarde488               9         6         3         3         3         2         8         9         6         10        10        
Vardas489                Pavarde489               3         10        7         10        6         1         7         3         6         3         4         
Vardas490                Pavarde490               2         7         2         1         3         3         2         1         4         6         6         
Vardas491                Pavarde491               1         1         9         1         2         7         5         5         10        1         10        
Vardas492                Pavarde492               3         6         2         5         1         3         2         6         2         7         4         
Vardas493                Pavarde493               1         9         3         6         7         5         3         5         6         3         2         
Vardas494                Pavarde494               2         6         1         6         2         8         3         4         8         4         1         
Vardas495                Pavarde495               10        9         5         5         10        6         1         6         2         3         5         
Vardas496                Pavarde496               1         7         1         2         10        10        4         8         1         6         7         
Vardas497                Pavarde497               1         9         6         8         10        2         1         3         7         10        1         
Vardas498                Pavarde498               10        6         10        10        2         2         5         8         6         2         4         
Vardas499                Pavarde499               10        9         5         4         5         5         1         2         8         5         2         
Vardas500                Pavarde500               8         6         1         10        6         9         2         3         8         1         10        
Vardas501                Pavarde501               7         8         9         9         5         9         6         2         4         6         2         
Vardas502                Pavarde502               5         8         3         5         7         5         9         2         5         9         7         
Vardas503                Pavarde503               7         7         1         10        8         10        10        4         5         2         5         
Vardas504                Pavarde504               1         8         7         3         3         9         7         3         4         9         10        
Vardas505                Pavarde505               4         8         4         8         7         5         2         4         1         4         3         
Vardas506                Pavarde506               1         3         4         5         4         8         6         3         1         8         7         
Vardas507                Pavarde507               1         9         7         9         10        5         4         10        4         4         1         
Vardas508                Pavarde508               1         8         1         8         3         4         8         4         2         6         10        
Vardas509                Pavarde509               2         9         2         9         4         9         9         9         5         8         3         
Vardas510                Pavarde510               2         3         7         8         1         9         4         5         2         10        3         
Vardas511                Pavarde511               3         2         2         4         6         2         2         1         9         2         3         
Vardas512                Pavarde512               5         5         6         1         6         6         4         1         9         10        1         
Vardas513                Pavarde513               8         3         9         1         6         10        9         10        2         2         6         
Vardas514                Pavarde514               4         8         10        1         8         5         5         8         3         2         5         
Vardas515                Pavarde515               7         3         8         2         2         3         6         9         6         9         5         
Vardas516                Pavarde516               7         9         6         9         6         10        8         3         2         10        8         
Vardas517                Pavarde517               3         4         6         3         8         10        7         6         3         9         4         
Vardas518                Pavarde518               6         8         4         6         10        8         10        2         1         4         9         
Vardas519                Pavarde519               3         9         7         2         6         7         10        2         9         10        3         
Vardas520                Pavarde520               10        9         9         5         3         9         7         2         8         4         2         
Vardas521                Pavarde521               5         10        8         6         10        9         2         6         6         3         3         
Vardas522                Pavarde522               7         8         4         8         10        5         8         3         5         10        4         
Vardas523                Pavarde523               8         5         3         2         10        7         8         10        10        5         7         
Vardas524                Pavarde524               3         8         8         4         2         3         10        8         2         3         7         
Vardas525                Pavarde525               7         4         8         5         3         3         6         7         5         2         6         
Vardas526                Pavarde526               4         3         4         3         10        3         10        8         10        6         10        
Vardas527                Pavarde527               5         3         10        1         3         6         4         2         10        1         5         
Vardas528                Pavarde528               8         6         10        1         9         9         3         9         6         5         5         
Vardas529                Pavarde529               2         5         8         6         10        2         5         10        1         7         1         
Vardas530                Pavarde530               8         4         2         2         9         7         1         4         2         7         9         
Vardas531                Pavarde531               5         2         6         3         7         1         5         4         1         7         10        
Vardas532                Pavarde532               6         7         4         6         3         9         6         1         7         6         7         
Vardas533                Pavarde533               5         3         3         6         6         7         2         4         7         1         4         
Vardas534                Pavarde534               1         2         5         4         8         1         10        3         6         3         3         
Vardas535                Pavarde535               9         5         3         9         6         9         3         8         3         3         1         
Vardas536                Pavarde536               4         10        2         1         2         6         5         5         6         10        10        
Vardas537                Pavarde537               3         7         10        1         4         6         7         9         9         10        6         
Vardas538                Pavarde538               7         10        2         5         3         1         8         9         8         9         2         
Vardas539                Pavarde539               9         4         4         6         2         8         3         6         2         6         9         
Vardas540                Pavarde540               3         5         1         9         2         6         4         4         6         9         6         
Vardas541                Pavarde541               8         10        10        3         5         5         2         7         10        3         7         
Vardas542                Pavarde542               9         6         3         1         2         3         9         3         10        8         7         
Vardas543                Pavarde543               9         9         8         9         6         5         6         10        2         1         1         
Vardas544                Pavarde544               7         2         9         8         2         8         2         1         8         8         10        
Vardas545                Pavarde545               4         7         1         4         5         5         10        7         6         10        9         
Vardas546                Pavarde546               1         4         9         7         5         4         2         5         4         2         3         
Vardas547                Pavarde547               1         8         5         9         5         10        4         10        8         2         6         
Vardas548                Pavarde548               8         4         3         9         6         10        8         10        4         8         6         
Vardas549                Pavarde549               1         2         10        9         5         7         3         2         4         10        1         
Vardas550                Pavarde550               8         3         9         1         10        3         1         10        5         3         1         
Vardas551                Pavarde551               7         7         5         7         2         4         7         5         6         9         10        
Vardas552                Pavarde552               8         5         5         2         7         8         6         5         1         3         4         
Vardas553                Pavarde553               4         3         3         4         10        9         10        4         10        8         6         
Vardas554                Pavarde554               6         3         10        6         9         10        8         1         5         2         1         
Vardas555                Pavarde555               4         9         3         8         4         3         4         6         7         1         8         
Vardas556                Pavarde556               3         10        7         7         5         3         8         6         10        7         1         
Vardas557                Pavarde557               8         7         2         6         1         3         6         8         9         5         2         
Vardas558                Pavarde558               10        3         6         3         10        4         1         3         3         7         1         
Vardas559                Pavarde559               10        3         6         2         7         6         5         8         5         10        3         
Vardas560                Pavarde560               2         10        8         2         7         5         4         2         8         6         6         
Vardas561                Pavarde561               6         3         10        1         9         4         10        10        3         5         5         
Vardas562                Pavarde562               3         6         6         4         7         3         9         5         2         3         7         
Vardas563                Pavarde563               7         10        2         5         4         5         7         9         5         4         9         
Vardas564                Pavarde564               5         8         5         7         5         7         7         4         9         1         7         
Vardas565                Pavarde565               2         2         7         10        1         6         9         2         2         2         6         
Vardas566                Pavarde566               9         4         5         10        1         9         2         10        4         9         8         
Vardas567                Pavarde567               5         8         1         8         7         4         10        3         7         10        9         
Vardas568                Pavarde568               10        6         2         8         1         1         8         2         3         7         10        
Vardas569                Pavarde569               5         4         1         3         3         3         4         4         4         2         1         
Vardas570                Pavarde570               3         4         1         10        10        3         7         6         7         7         4         
Vardas571                Pavarde571               5         9         9         9         9         4         6         2         4         8         4         
Vardas572                Pavarde572               8         5         1         7         2         10        5         7         3         5         4         
Vardas573                Pavarde573               1         2         4         6         9         4         8         5         8         2         3         
Vardas574                Pavarde574               4         10        1         9         3         9         7         1         8         9         2         
Vardas575                Pavarde575               7         6         2         5         1         6         8         10        1         6         4         
Vardas576                Pavarde576               10        5         9         5         4         9         9         1         8         5         4         
Vardas577                Pavarde577               4         3         1         9         7         5         7         10        8         8         8         
Vardas578                Pavarde578               10        3         6         6         7         8         7         5         6         1         7         
Vardas579                Pavarde579               3         6         4         7         7         9         7         4         5         10        2         
Vardas580                Pavarde580               6         5         5         5         4         10        7         8         5         8         7         
Vardas581                Pavarde581               4         5         3         2         10        6         10        7         2         2         9         
Vardas582                Pavarde582               4         7         1         7         10        1         10        5         7         10        4         
Vardas583                Pavarde583               7         2         4         7         4         1         8         6         3         8         10        
Vardas584                Pavarde584               6         4         4         2         7         10        6         9         4         9         8         
Vardas585                Pavarde585               2         2         5         4         6         8         1         2         8         9         7         
Vardas586                Pavarde586               6         2         7         10        10        2         2         3         10        6         4         
Vardas587                Pavarde587               1         5         7         4         3         9         10        6         1         1         9         
Vardas588                Pavarde588               2         9         6         8         1         5         8         5         4         5         3         
Vardas589                Pavarde589               6         5         1         3         5         10        5         7         4         9         9         
Vardas590                Pavarde590               10        2         10        4         3         1         7         1         9         9         1         
Vardas591                Pavarde591               4         2         3         5         10        6         6         3         10        9         3         
Vardas592                Pavarde592               10        1         1         7         8         5         3         7         4         5         4         
Vardas593                Pavarde593               7         2         2         5         2         3         10        3         7         1         10        
Vardas594                Pavarde594               9         10        6         3         1         8         5         1         10        3         6         
Vardas595                Pavarde595               4         6         9         3         5         7         9         4         2         8         9         
Vardas596                Pavarde596               8         3         6         1         9         6         4         1         7         2         10        
Vardas597                Pavarde597               6         2         8         5         1         4         10        1         9         4         1         
Vardas598                Pavarde598               9         2         5         4         5         3         7         5         7         6         5         
Vardas599                Pavarde599               9         3         1         10        9         3         2         5         1         7         3         
Vardas600                Pavarde600               5         3         1         7         7         7         3         8         2         2         10        
Vardas601                Pavarde601               8         3         6         2         4         1         9         10        9         5         2         
Vardas602                Pavarde602               7         7         8         2         1         3         9         4         4         2         3         
Vardas603                Pavarde603               7         4         2         6         5         6         4         5         5         8         4         
Vardas604                Pavarde604               5         4         3         2         5         1         8         9         10        8         1         
Vardas605                Pavarde605               4         2         4         7         2         1         9         4         4         2         4         
Vardas606                Pavarde606               3         2         5         10        7         3         5         10        3         3         2         
Vardas607                Pavarde607               10        1         1         10        6         3         6         2         8         2         4         
Vardas608                Pavarde608               2         7         6         4         1         4         5         3         5         4         7         
Vardas609                Pavarde609               3         6         10        4         8         7         4         10        2         1         6         
Vardas610                Pavarde610               9         2         10        1         6         5         9         9         5         9         4         
Vardas611                Pavarde611               9         8         6         1         3         6         1         2         6         3         5         
Vardas612                Pavarde612               7         3         5         6         6         5         10        5         10        3         10        
Vardas613                Pavarde613               7         10        2         4         1         7         3         4         4         10        1         
Vardas614                Pavarde614               6         8         1         10        10        1         2         8         10        4         5         
Vardas615                Pavarde615               2         6         6         4         5         10        8         6         5         9         2         
Vardas616                Pavarde616               4         7         4         8         2         6         2         2         1         3         6         
Vardas617                Pavarde617               1         2         1         8         4         5         4         2         2         9         8         
Vardas618                Pavarde618               10        1         6         10        3         2         3         1         4         5         8         
Vardas619                Pavarde619               1         1         2         9         4         2         2         9         9         4         4         
Vardas620                Pavarde620               6         10        3         9         4         5         6         10        1         7         3         
Vardas621                Pavarde621               5         6         10        9         6         2         9         8         7         8         6         
Vardas622                Pavarde622               10        5         4         2         1         6         5         7         1         9         2         
Vardas623                Pavarde623               2         8         5         5         6         5         3         10        1         8         10        
Vardas624                Pavarde624               5         8         1         6         7         5         10        3         6         6         2         
Vardas625                Pavarde625               3         2         5         4         4         3         2         10        5         10        4         
Vardas626                Pavarde626               6         6         1         7         2         8         4         2         7         3         1         
Vardas627                Pavarde627               5         7         9         3         10        7         9         2         10        7         4         
Vardas628                Pavarde628               10        9         8         6         4         1         1         6         5         2         4         
Vardas629                Pavarde629               6         8         4         8         9         5         3         9         1         5         2         
Vardas630                Pavarde630               7         6         9         4         8         3         2         10        8         2         3         
Vardas631                Pavarde631               2         2         3         2         4         6         7         1         2         6         4         
Vardas632                Pavarde632               1         9         6         4         3         3         7         8         10        3         10        
Vardas633                Pavarde633               7         2         3         2         1         1         9         1         1         6         10        
Vardas634                Pavarde634               9         2         3         5         4         1         3         1         1         5         2         
Vardas635                Pavarde635               10        7         6         4         10        8         5         9         10        5         1         
Vardas636                Pavarde636               9         8         8         6         7         1         4         9         1         10        5         
Vardas637                Pavarde637               10        4         6         5         8         9         7         2         5         8         4         
Vardas638                Pavarde638               10        8         1         6         5         5         7         6         9         5         8         
Vardas639                Pavarde639               9         8         6         3         2         8         8         7         10        5         10        
Vardas640                Pavarde640               4         2         2         5         10        6         6         1         3         4         10        
Vardas641                Pavarde641               7         10        9         9         2         4         7         1         1         10        6         
Vardas642                Pavarde642               5         9         8         5         10        10        9         4         9         6         3         
Vardas643                Pavarde643               2         6         4         2         7         8         4         1         6         3         3         
Vardas644                Pavarde644               2         6         1         3         7         3         9         4         7         8         5         
Vardas645                Pavarde645               6         4         8         8         9         9         5         1         4         6         9         
Vardas646                Pavarde646               10        4         2         8         1         10        4         4         6         8         4         
Vardas647                Pavarde647               7         5         10        5         1         1         10        8         9         7         6         
Vardas648                Pavarde648               3         3         4         6         4         8         10        2         1         6         1         
Vardas649                Pavarde649               10        4         7         6         6         10        7         2         10        10        2         
Vardas650                Pavarde650               8         6         10        5         8         6         1         4         3         1         4         
Vardas651                Pavarde651               9         9         6         10        5         1         4         8         8         10        6         
Vardas652                Pavarde652               10        1         7         9         8         7         10        1         10        2         8         
Vardas653                Pavarde653               10        9         6         10        1         5         1         6         3         6         9         
Vardas654                Pavarde654               1         8         5         10        4         5         1         2         2         5         8         
Vardas655                Pavarde655               2         1         7         5         4         9         1         2         1         5         6         
Vardas656                Pavarde656               4         6         10        5         3         8         1         9         3         4         1         
Vardas657                Pavarde657               2         3         6         8         6         2         9         6         4         2         7         
Vardas658                Pavarde658               1         9         5         9         8         6         8         6         6         1         3         
Vardas659                Pavarde659               5         9         1         5         10        6         5         2         3         5         8         
Vardas660                Pavarde660               10        1         3         3         5         8         8         1         2         8         2         
Vardas661                Pavarde661               8         9         6         2         6         8         5         4         8         3         10        
Vardas662                Pavarde662               3         3         6         3         6         1         5         1         9         9         5         
Vardas663                Pavarde663               5         4         4         6         3         3         1         6         1         5         4         
Vardas664                Pavarde664               3         7         9         9         2         6         7         3         4         9         10        
Vardas665                Pavarde665               2         2         6         7         9         2         9         8         2         10        10        
Vardas666                Pavarde666               3         1         5         2         3         9         1         1         5         7         1         
Vardas667                Pavarde667               1         4         10        9         6         5         6         5         5         9         1         
Vardas668                Pavarde668               10        9         10        8         1         10        9         5         10        3         1         
Vardas669                Pavarde669               9         1         8         4         1         3         6         1         8         1         3         
Vardas670                Pavarde670               8         10        1         1         7         5         2         6         2         3         10        
Vardas671                Pavarde671               8         1         7         4         7         4         7         8         7         7         4         
Vardas672                Pavarde672               4         3         5         9         2         8         2         10        1         7         8         
Vardas673                Pavarde673               2         4         4         9         2         8         10        2         4         1         2         
Vardas674                Pavarde674               9         4         1         4         5         7         8         4         3         6         5         
Vardas675                Pavarde675               9         3         8         10        4         7         6         5         7         5         2         
Vardas676                Pavarde676               10        9         8         7         1         2         4         6         6         7         9         
Vardas677                Pavarde677               7         9         3         5         7         6         4         4         10        5         9         
Vardas678                Pavarde678               10        3         1         2         6         6         10        5         8         6         1         
Vardas679                Pavarde679               10        1         2         5         2         4         3         10        9         7         4         
Vardas680                Pavarde680               10        10        6         2         2         1         8         7         10        3         3         
Vardas681                Pavarde681               5         7         10        4         3         4         5         2         9         1         2         
Vardas682                Pavarde682               7         9         10        6         8         7         4         9         3         2         5         
Vardas683                Pavarde683               6         5         1         10        2         2         9         6         6         6         5         
Vardas684                Pavarde684               4         1         10        8         8         10        2         2         10        9         5         
Vardas685                Pavarde685               8         10        3         6         10        10        5         8         7         9         8         
Vardas686                Pavarde686               5         10        7         3         4         7         8         2         9         9         2         
Vardas687                Pavarde687               4         5         9         5         9         9         6         5         5         2         1         
Vardas688                Pavarde688               2         3         2         1         3         1         6         1         2         1         9         
Vardas689                Pavarde689               8         1         6         3         6         5         3         5         3         10        9         
Vardas690                Pavarde690               6         7         7         2         1         5         2         7         7         6         4         
Vardas691                Pavarde691               2         5         7         3         10        2         7         8         8         8         8         
Vardas692                Pavarde692               1         6         8         8         1         4         4         8         4         2         6         
Vardas693                Pavarde693               2         8         9         1         5         2         10        4         1         9         1         
Vardas694                Pavarde694               9         3         2         1         7         4         9         6         5         10        5         
Vardas695                Pavarde695               2         6         9         1         9         6         9         2         2         6         2         
Vardas696                Pavarde696               7         3         10        2         8         1         6         5         3         8         7         
Vardas697                Pavarde697               9         3         8         10        6         9         2         9         4         8         10        
Vardas698                Pavarde698               4         6         9         4         1         10        6         7         10        4         9         
Vardas699                Pavarde699               10        9         2         8         4         7         9         7         4         3         7         
Vardas700                Pavarde700               1         9         8         1         5         9         2         9         2         4         9         
Vardas701                Pavarde701               8         9         10        6         2         10        7         7         10        6         6         
Vardas702                Pavarde702               3         9         2         7         3         8         9         9         1         6         1         
Vardas703                Pavarde703               10        10        8         4         4         7         6         4         9         4         10        
Vardas704                Pavarde704               3         7         7         6         10        2         5         10        9         8         5         
Vardas705                Pavarde705               5         3         8         3         8         3         1         10        9         2         7         
Vardas706                Pavarde706               3         3         8         5         9         4         10        9         5         7         9         
Vardas707                Pavarde707               7         9         8         6         9         8         6         8         2         8         4         
Vardas708                Pavarde708               8         1         10        7         10        3         3         1         2         7         2         
Vardas709                Pavarde709               6         6         10        7         5         7         8         3         7         9         7         
Vardas710                Pavarde710               10        3         9         9         5         5         1         8         10        10        9         
Vardas711                Pavarde711               5         2         2         6         7         8         4         3         1         9         9         
Vardas712                Pavarde712               10        4         2         4         7         2         1         2         6         3         3         
Vardas713                Pavarde713               3         1         5         3         8         2         9         4         4         5         10        
Vardas714                Pavarde714               7         4         4         3         3         7         6         3         3         5         6         
Vardas715                Pavarde715               7         3         4         9         6         8         9         2         2         1         1         
Vardas716                Pavarde716               1         4         8         10        7         8         9         9         8         2         6         
Vardas717                Pavarde717               3         4         2         7         7         5         3         2         10        8         3         
Vardas718                Pavarde718               9         3         9         3         7         1         8         10        5         2         9         
Vardas719                Pavarde719               7         2         1         8         9         10        6         2         9         5         2         
Vardas720                Pavarde720               7         5         8         6         8         10        4         1         5         5         10        
Vardas721                Pavarde721               6         1         8         5         10        7         5         8         6         6         9         
Vardas722                Pavarde722               6         1         3         2         8         1         3         2         9         2         3         
Vardas723                Pavarde723               7         7         1         9         2         2         9         3         9         1         9         
Vardas724                Pavarde724               9         6         3         9         1         4         8         4         6         5         4         
Vardas725                Pavarde725               3         6         5         6         2         9         9         5         1         2         9         
Vardas726                Pavarde726               3         10        8         7         3         3         5         2         8         5         3         
Vardas727                Pavarde727               2         5         3         10        5         8         1         4         2         7         2         
Vardas728                Pavarde728               8         8         3         6         4         8         8         10        2         4         9         
Vardas729                Pavarde729               3         5         8         3         3         3         8         5         2         9         9         
Vardas730                Pavarde730               2         8         4         3         2         1         10        2         6         8         9         
Vardas731                Pavarde731               10        2         8         4         8         9         8         5         7         6         3         
Vardas732                Pavarde732               2         10        10        10        8         3         7         1         3         6         2         
Vardas733                Pavarde733               1         1         2         1         10        9         5         2         6         1         10        
Vardas734                Pavarde734               6         3         5         4         1         1         2         7         9         8         2         
Vardas735                Pavarde735               8         1         3         8         8         7         5         6         10        7         1         
Vardas736                Pavarde736               6         6         9         6         5         4         4         7         4         8         7         
Vardas737                Pavarde737               3         8         10        7         8         6         1         9         6         1         8         
Vardas738                Pavarde738               4         7         7         3         6         2         8         1         4         8         3         
Vardas739                Pavarde739               6         5         6         5         7         1         7         8         6         8         9         
Vardas740                Pavarde740               9         2         7         10        3         3         4         9         3         2         2         
Vardas741                Pavarde741               7         5         8         9         7         9         3         4         8         2         2         
Vardas742                Pavarde742               10        8         1         8         10        1         5         1         8         8         10        
Vardas743                Pavarde743               7         10        9         2         9         3         2         8         4         4         7         
Vardas744                Pavarde744               10        4         2         7         5         9         9         6         2         2         1         
Vardas745                Pavarde745               4         7         10        7         10        7         9         10        6         5         9         
Vardas746                Pavarde746               5         3         7         9         7         4         4         2         7         1         7         
Vardas747                Pavarde747               10        3         1         4         4         7         7         7         5         9         7         
Vardas748                Pavarde748               1         1         7         10        9         8         9         5         10        8         9         
Vardas749                Pavarde749               1         2         2         1         4         5         10        8         1         4         3         
Vardas750                Pavarde750               8         1         6         3         3         10        1         2         6         6         7         
Vardas751                Pavarde751               8         4         10        7         9         6         10        7         7         1         4         
Vardas752                Pavarde752               7         3         2         4         9         8         6         10        10        8         6         
Vardas753                Pavarde753               3         3         8         1         4         6         6         3         7         6         3         
Vardas754                Pavarde754               8         1         10        6         6         8         8         8         4         7         6         
Vardas755                Pavarde755               6         7         2         4         6         4         1         7         2         8         4         
Vardas756                Pavarde756               9         5         4         5         7         5         9         6         3         6         2         
Vardas757                Pavarde757               7         4         1         5         5         8         3         5         7         2         7         
Vardas758                Pavarde758               7         7         4         4         2         7         6         6         7         9         9         
Vardas759                Pavarde759               10        2         5         8         1         5         6         6         6         5         8         
Vardas760                Pavarde760               6         3         10        9         1         3         7         6         3         6         9         
Vardas761                Pavarde761               10        10        9         7         4         1         1         2         4         9         7         
Vardas762                Pavarde762               9         9         3         6         10        8         2         5         3         1         10        
Vardas763                Pavarde763               9         2         8         7         6         7         6         4         4         6         7         
Vardas764                Pavarde764               4         6         6         8         1         2         1         4         8         4         2         
Vardas765                Pavarde765               4         5         10        7         1         3         2         10        9         9         9         
Vardas766                Pavarde766               8         6         1         10        1         4         8         3         6         3         4         
Vardas767                Pavarde767               6         8         8         10        1         2         2         5         5         6         10        
Vardas768                Pavarde768               6         7         5         8         7         9         1         1         1         9         7         
